TASKID;SCHEDULETYPEID;LINES_LINEID;PLANVERSIONID
605;5313024;2212;257
606;5313027;2212;257
606;5313024;353;257
607;5313027;2211;257
607;5313024;4272;257
608;5313027;2212;257
608;5313024;373;257
609;5313027;2524;257
609;5313024;373;257
610;5313027;421;257
610;5313024;452;257
611;5313027;3122;257
611;5313024;2141;257
612;5313027;421;257
612;5313024;373;257
613;5313027;131;257
613;5313024;3124;257
614;5313027;2301;257
614;5313024;2141;257
615;5313027;2274;257
615;5313024;3441;257
616;5313024;441;257
617;5313027;421;257
617;5313024;2101;257
618;5313027;322;257
618;5313024;2841;257
619;5313027;427;257
619;5313024;2243;257
620;5313027;2211;257
620;5313024;2212;257
621;5313027;2212;257
621;5313024;2211;257
622;5313027;421;257
622;5313024;3441;257
623;5313024;2211;257
624;5313024;441;257
625;5313027;2211;257
625;5313024;2471;257
626;5313027;3142;257
626;5313024;2211;257
627;5313027;2241;257
627;5313024;2273;257
628;5313024;3141;257
629;5313027;427;257
629;5313024;2842;257
630;5313024;2212;257
631;5313027;311;257
631;5313024;452;257
632;5313024;385;257
632;5313027;2211;257
633;5313027;131;257
633;5313024;357;257
634;5313024;1571;257
634;5313027;3141;257
635;5313024;2471;257
636;5313024;2473;257
637;5313027;2211;257
637;5313024;1571;257
638;5313027;2212;257
638;5313024;321;257
639;5313024;2841;257
640;5313024;2841;257
641;5313024;2473;257
642;5313024;2472;257
643;5313024;2841;257
644;5313024;2102;257
645;5313027;2211;257
645;5313024;2473;257
646;5313024;1571;257
647;5313027;2212;257
647;5313024;142;257
648;5313024;441;257
649;5313024;334;257
649;5313027;3142;257
650;5313024;2212;257
651;5313027;271;257
651;5313024;347;257
652;5313024;2841;257
653;5313024;3442;257
654;5313024;3141;257
655;5313027;427;257
655;5313024;4272;257
656;5313027;131;257
656;5313024;306;257
657;5313027;1472;257
657;5313024;3133;257
658;5313027;131;257
658;5313024;2243;257
659;5313027;2211;257
659;5313024;2212;257
660;5313027;1472;257
660;5313024;3372;257
661;5313027;1472;257
661;5313024;2841;257
662;5313027;1472;257
662;5313024;1571;257
663;5313024;311;257
664;5313024;347;257
665;5313024;302;257
666;5313027;1472;257
666;5313024;306;257
667;5313027;2211;257
667;5313024;1472;257
668;5313027;3141;257
668;5313024;1571;257
669;5313027;3142;257
669;5313024;2212;257
670;5313027;1472;257
670;5313024;2841;257
671;5313027;2211;257
671;5313024;1571;257
672;5313024;2212;257
673;5313024;452;257
674;5313027;371;257
674;5313024;347;257
675;5313027;371;257
675;5313024;4272;257
676;5313024;311;257
676;5313027;2401;257
677;5313027;3141;257
677;5313024;3133;257
678;5313024;2301;257
679;5313027;427;257
679;5313024;311;257
680;5313024;3122;257
681;5313024;452;257
682;5313024;371;257
683;5313024;311;257
684;5313024;427;257
685;5313024;282;257
686;5313027;2104;257
686;5313024;2471;257
687;5313024;306;257
688;5313024;4272;257
688;5313027;2211;257
689;5313027;2401;257
689;5313024;441;257
690;5313024;2301;257
690;5313027;427;257
691;5313027;2273;257
691;5313024;427;257
692;5313024;452;257
692;5313027;140;257
693;5313027;2104;257
693;5313024;217;257
694;5313024;271;257
694;5313027;441;257
695;5313027;2104;257
695;5313024;377;257
696;5313024;2472;257
697;5313027;2273;257
697;5313024;3372;257
698;5313027;441;257
698;5313024;2473;257
699;5313027;2104;257
699;5313024;2841;257
700;5313024;2101;257
700;5313027;2273;257
701;5313024;371;257
702;5313027;441;257
702;5313024;377;257
703;5313027;2273;257
703;5313024;427;257
704;5313027;2273;257
704;5313024;243;257
705;5313027;2401;257
705;5313024;2471;257
706;5313027;3142;257
706;5313024;421;257
707;5313024;142;257
708;5313027;441;257
708;5313024;355;257
709;5313024;1472;257
710;5313024;441;257
711;5313027;2211;257
711;5313024;243;257
712;5313027;441;257
712;5313024;2472;257
713;5313027;3142;257
713;5313024;2473;257
714;5313027;441;257
714;5313024;2473;257
715;5313027;2273;257
715;5313024;2841;257
716;5313027;2273;257
716;5313024;142;257
717;5313027;441;257
717;5313024;142;257
718;5313024;421;257
718;5313027;2273;257
719;5313027;2211;257
719;5313024;282;257
720;5313027;2273;257
720;5313024;2472;257
721;5313024;2301;257
722;5313024;321;257
723;5313024;371;257
724;5313024;441;257
725;5313024;282;257
726;5313024;2243;257
726;5313027;427;257
727;5313024;2301;257
728;5313027;311;257
728;5313024;142;257
729;5313027;311;257
729;5313024;302;257
730;5313024;421;257
731;5313024;441;257
731;5313027;311;257
732;5313024;3172;257
733;5313024;355;257
734;5313024;2301;257
734;5313027;311;257
735;5313024;2471;257
736;5313027;2211;257
736;5313024;306;257
737;5313027;3112;257
737;5313024;371;257
738;5313027;305;257
738;5313024;311;257
739;5313024;2472;257
740;5313027;2211;257
217;5212024;347;254
217;5212027;3721;254
217;5212043;347;254
218;5212024;272;254
218;5212027;385;254
218;5212043;3721;254
219;5212024;140;254
219;5212027;3121;254
219;5212043;251;254
220;5212024;452;254
220;5212043;3372;254
221;5212024;1472;254
221;5212027;131;254
221;5212043;421;254
222;5212024;3422;254
222;5212027;441;254
222;5212043;441;254
223;5212024;376;254
223;5212027;142;254
223;5212043;347;254
224;5212024;1571;254
224;5212027;437;254
224;5212043;2472;254
225;5212027;318;254
225;5212024;1472;254
225;5212043;3124;254
226;5212043;131;254
226;5212024;271;254
226;5212027;2402;254
227;5212024;2121;254
227;5212027;2301;254
228;5212027;140;254
228;5212024;3131;254
228;5212043;3372;254
229;5212043;2521;254
229;5212024;2102;254
229;5212027;2801;254
230;5212024;142;254
230;5212027;3191;254
230;5212043;131;254
231;5212043;2273;254
231;5212024;2401;254
232;5212024;347;254
232;5212043;3441;254
232;5212027;3121;254
233;5212024;2471;254
233;5212027;272;254
233;5212043;1571;254
234;5212024;2141;254
234;5212027;373;254
234;5212043;3441;254
235;5212027;1472;254
235;5212043;131;254
235;5212024;2242;254
236;5212024;2402;254
236;5212043;2121;254
236;5212027;437;254
237;5212024;2141;254
237;5212027;2841;254
