CALENDARID;OPERATION;SCHEDULETYPEID;PLANVERSIONID
35406;6-feb-18;4832012;227
27927;04-JAN-17;4352122;181
27928;05-JAN-17;4352122;181
27929;06-JAN-17;4352122;181
27930;07-JAN-17;4352016;181
27931;08-JAN-17;4352020;181
27932;09-JAN-17;4352020;181
28667;17-JAN-17;4412024;183
28668;18-JAN-17;4412024;183
28669;19-JAN-17;4412024;183
28670;20-JAN-17;4412024;183
28671;21-JAN-17;4412027;183
28672;22-JAN-17;4412043;183
30387;8-mar-17;4472024;188
30388;9-mar-17;4472024;188
30389;10-mar-17;4472024;188
30390;11-mar-17;4472019;188
30391;12-mar-17;4472020;188
30392;13-mar-17;4472024;188
30393;14-mar-17;4472024;188
30394;15-mar-17;4472024;188
31307;12-APR-17;4493093;191
31308;13-APR-17;4493109;191
31309;14-APR-17;4493109;191
31310;15-APR-17;4493094;191
31311;16-APR-17;4493038;191
31847;15-may-17;4532018;193
31848;16-may-17;4532018;193
31849;17-may-17;4532018;193
31850;18-may-17;4532018;193
31851;19-may-17;4532018;193
31852;20-may-17;4532019;193
31853;21-may-17;4532020;193
31854;22-may-17;4532018;193
31855;23-may-17;4532018;193
31856;24-may-17;4532018;193
31857;25-may-17;4532018;193
31858;26-may-17;4532018;193
31859;27-may-17;4532019;193
31860;28-may-17;4532020;193
31861;29-may-17;4532020;193
31862;30-may-17;4532018;193
31863;31-may-17;4532018;193
31864;1-jun-17;4532018;193
31865;2-jun-17;4532018;193
31866;3-jun-17;4532019;193
31867;4-jun-17;4532020;193
32525;27-jun-17;4552041;196
32526;28-jun-17;4552041;196
32527;29-jun-17;4552041;196
32528;30-jun-17;4552041;196
32529;1-jul-17;4552027;196
31845;13-may-17;4532019;193
31846;14-may-17;4532020;193
32530;2-jul-17;4552020;196
32531;3-jul-17;4552095;196
32532;4-jul-17;4552041;196
32533;5-jul-17;4552041;196
32534;6-jul-17;4552041;196
32535;7-jul-17;4552041;196
32536;8-jul-17;4552027;196
32537;9-jul-17;4552020;196
32538;10-jul-17;4552041;196
32539;11-jul-17;4552041;196
32540;12-jul-17;4552041;196
32541;13-jul-17;4552041;196
32542;14-jul-17;4552041;196
32543;15-jul-17;4552027;196
32544;16-jul-17;4552020;196
33227;30-AUG-17;4652041;200
33228;31-AUG-17;4652041;200
33229;1-sep-17;4652041;200
33230;2-sep-17;4652042;200
33245;3-sep-17;4652043;201
33246;4-sep-17;4652041;201
33247;5-sep-17;4652041;201
31305;10-APR-17;4493093;191
31306;11-APR-17;4493093;191
33248;6-sep-17;4652041;201
33249;7-sep-17;4652041;201
33250;8-sep-17;4652041;201
33285;11-sep-17;4652041;203
33286;12-sep-17;4652041;203
30385;6-mar-17;4472024;188
30386;7-mar-17;4472024;188
33287;13-sep-17;4652041;203
33288;14-sep-17;4652041;203
33289;15-sep-17;4652041;203
33290;16-sep-17;4652016;203
33345;24-sep-17;4652038;206
33346;25-sep-17;4652041;206
33347;26-sep-17;4652041;206
33348;27-sep-17;4652041;206
33467;17-oct-17;4714122;212
33468;18-oct-17;4714122;212
33465;15-oct-17;4714038;212
33466;16-oct-17;4714095;212
33587;6-nov-17;4714095;218
34585;09-JAN-18;4812041;224
33585;4-nov-17;4714016;218
33586;5-nov-17;4714038;218
34586;10-JAN-18;4812041;224
34587;11-JAN-18;4812041;224
34588;12-JAN-18;4812041;224
34589;13-JAN-18;4812016;224
34590;14-JAN-18;4812038;224
34591;15-JAN-18;4812041;224
34592;16-JAN-18;4812041;224
34593;17-JAN-18;4812041;224
34594;18-JAN-18;4812041;224
34595;19-JAN-18;4812041;224
34596;20-JAN-18;4812016;224
28665;15-JAN-17;4412043;183
28666;16-JAN-17;4412024;183
27925;02-JAN-17;4352122;181
27926;03-JAN-17;4352122;181
36185;11-mar-18;4872043;230
36186;12-mar-18;4872041;230
36187;13-mar-18;4872041;230
36188;14-mar-18;4872041;230
36305;15-mar-18;4872041;231
36306;16-mar-18;4872041;231
36307;17-mar-18;4872042;231
36767;28-mar-18;4892093;235
36768;29-mar-18;4892109;235
36769;30-mar-18;4892109;235
36770;31-mar-18;4892094;235
36771;01-APR-18;4892043;235
36867;04-APR-18;4892041;236
36868;05-APR-18;4892041;236
36869;06-APR-18;4892041;236
36870;07-APR-18;4892042;236
36871;08-APR-18;4892043;236
37247;3-may-18;4872041;238
37248;4-may-18;4872041;238
37347;7-may-18;4872041;239
37348;8-may-18;4872041;239
37349;9-may-18;4872041;239
37350;10-may-18;4872041;239
37351;11-may-18;4872041;239
37352;12-may-18;4872042;239
37527;17-may-18;4852041;241
37528;18-may-18;4852041;241
37529;19-may-18;4852042;241
37530;20-may-18;4852043;241
37531;21-may-18;4852041;241
37532;22-may-18;4852041;241
37533;23-may-18;4852041;241
37534;24-may-18;4852041;241
37245;1-may-18;4872082;238
37246;2-may-18;4872041;238
37535;25-may-18;4852041;241
37536;26-may-18;4852042;241
36665;24-mar-18;4872042;234
36666;25-mar-18;4872043;234
37537;27-may-18;4852043;241
